istituto,tasso_affollamento,posti_regolamentari,posti_non_disponibili,posti_disponibili,totale_detenuti,dati_aggiornati_al,polizia_penitenziaria_previsti,polizia_penitenziaria_effettivi,personale_polizia_penitenziaria_aggiornato_al,amministrativi_effettivi,amministrativi_previsti,personale_amministrativo_aggiornato_al,numero_complessivo_stanze,numero_non_disponibili_stanze,doccia,bidet,portatori_handicap,servizi_igienici_con_porta,accensione_luce_autonoma,prese_elettriche,data_aggiornamento_spazi_detentivi,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers,suicidi_2002,suicidi_2003,suicidi_2004,suicidi_2005,suicidi_2006,suicidi_2007,suicidi_2008,suicidi_2009,suicidi_2010,suicidi_2011,suicidi_2012,suicidi_2013,suicidi_2014,suicidi_2015,suicidi_2016,suicidi_2017,suicidi_2018,suicidi_2019,suicidi_2020,suicidi_2021,suicidi_2022,suicidi_2023,suicidi_2024,suicidi_totali,personale_previsti,personale_effettivi,personale_mancante_perc
Roma Regina Coeli,192.30769230769232,628,56,572,1100,2025-04-08,480,362,2025-02-28,34,48,2025-02-28,323.0,30.0,150.0,1.0,0.0,323.0,320.0,323.0,2025-04-08,293.0,3.7542662116040955,0.3290909090909091,7.333333333333333,1100.0,3.41,3.4375,0.29363636363636364,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,528,396,25.0
Rossano,121.92307692307693,263,3,260,317,2025-04-08,139,114,2025-02-28,18,23,2025-02-28,142.0,3.0,136.0,46.0,0.0,142.0,142.0,142.0,2025-04-08,139.0,2.2805755395683454,0.35962145110410093,2.3308823529411766,6.891304347826087,2.23,2.232394366197183,0.4479495268138801,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,162,132,18.51851851851852
Rovigo,121.53110047846889,209,0,209,254,2025-04-08,175,144,2025-02-28,14,19,2025-02-28,111.0,0.0,109.0,109.0,6.0,111.0,111.0,109.0,2025-04-08,111.0,2.2882882882882885,0.5669291338582677,2.330275229357798,2.330275229357798,2.29,2.2882882882882885,0.42913385826771655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,194,158,18.556701030927837
Salerno,156.64893617021275,376,0,376,589,2025-04-08,209,236,2025-02-28,30,31,2025-02-28,130.0,0.0,70.0,87.0,5.0,130.0,104.0,82.0,2025-04-08,130.0,4.530769230769231,0.400679117147708,8.414285714285715,6.7701149425287355,4.53,5.663461538461538,0.13921901528013583,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,11,240,266,-10.833333333333334
Saluzzo,84.90566037735849,424,0,424,360,2025-04-08,206,183,2025-02-28,15,24,2025-02-28,275.0,0.0,66.0,204.0,4.0,275.0,270.0,98.0,2025-04-08,275.0,1.309090909090909,0.5083333333333333,5.454545454545454,1.7647058823529411,1.31,1.3333333333333333,0.2722222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,230,198,13.91304347826087
San Cataldo,88.54961832061069,135,4,131,116,2025-04-08,59,52,2025-02-28,17,14,2025-02-28,21.0,1.0,21.0,0.0,1.0,1.0,9.0,21.0,2025-04-08,20.0,5.8,0.4482758620689655,5.523809523809524,inf,116.0,12.88888888888889,0.1810344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,73,69,5.47945205479452
San Gimignano,145.73991031390133,243,20,223,325,2025-04-08,205,189,2025-02-28,12,21,2025-02-28,231.0,20.0,0.0,4.0,0.0,231.0,231.0,204.0,2025-04-08,211.0,1.5402843601895735,0.5815384615384616,inf,81.25,1.41,1.406926406926407,0.6276923076923077,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,226,201,11.061946902654867
Sanremo,114.34977578475336,223,0,223,255,2025-04-08,185,160,2025-02-28,11,19,2025-02-28,109.0,0.0,68.0,99.0,0.0,109.0,109.0,10.0,2025-04-08,109.0,2.3394495412844036,0.6274509803921569,3.75,2.5757575757575757,2.34,2.3394495412844036,0.0392156862745098,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,204,171,16.176470588235293
San Severo,140.98360655737704,61,0,61,86,2025-04-08,60,51,2025-02-28,8,10,2025-02-28,38.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,2025-04-08,38.0,2.263157894736842,0.5930232558139535,inf,inf,2.26,2.263157894736842,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,59,15.714285714285714
Santa Maria Capua Vetere,140.77134986225894,826,100,726,1022,2025-04-08,460,459,2025-02-28,46,43,2025-02-28,404.0,40.0,339.0,295.0,8.0,404.0,404.0,244.0,2025-04-08,364.0,2.8076923076923075,0.449119373776908,3.0147492625368733,3.464406779661017,2.53,2.5297029702970297,0.23874755381604695,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,503,505,-0.3976143141153081
Sant'Angelo dei Lombardi,142.74193548387098,124,0,124,177,2025-04-08,86,92,2025-02-28,14,18,2025-02-28,86.0,0.0,85.0,0.0,0.0,86.0,86.0,86.0,2025-04-08,86.0,2.058139534883721,0.519774011299435,2.0823529411764707,inf,2.06,2.058139534883721,0.4858757062146893,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,104,106,-1.9230769230769231
Sassari,115.01103752759383,454,1,453,521,2025-04-08,342,287,2025-02-28,25,33,2025-02-28,292.0,1.0,292.0,9.0,22.0,292.0,292.0,201.0,2025-04-08,291.0,1.7903780068728523,0.5508637236084453,1.7842465753424657,57.888888888888886,1.78,1.7842465753424657,0.3857965451055662,4,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2,14,375,312,16.8
Sciacca,100.0,73,53,20,20,2025-04-08,44,38,2025-02-28,12,13,2025-02-28,25.0,16.0,24.0,0.0,0.0,22.0,10.0,23.0,2025-04-08,9.0,2.2222222222222223,1.9,0.8333333333333334,inf,0.91,2.0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,57,50,12.280701754385964
Siena,110.34482758620689,58,0,58,64,2025-04-08,41,46,2025-02-28,9,13,2025-02-28,39.0,0.0,1.0,4.0,0.0,39.0,39.0,1.0,2025-04-08,39.0,1.641025641025641,0.71875,64.0,16.0,1.64,1.641025641025641,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,54,55,-1.8518518518518516
Siracusa,126.97247706422019,545,0,545,692,2025-04-08,234,245,2025-02-28,24,29,2025-02-28,245.0,0.0,219.0,19.0,2.0,245.0,245.0,245.0,2025-04-08,245.0,2.8244897959183675,0.3540462427745665,3.1598173515981736,36.421052631578945,2.82,2.8244897959183675,0.3540462427745665,1,1,2,1,0,0,1,0,4,0,1,0,0,0,1,1,0,1,1,0,1,1,1,18,263,269,-2.2813688212927756
Sondrio,137.5,26,2,24,33,2025-04-08,27,32,2025-02-28,3,11,2025-02-28,20.0,2.0,3.0,0.0,0.0,18.0,3.0,20.0,2025-04-08,18.0,1.8333333333333333,0.9696969696969697,11.0,inf,1.83,11.0,0.6060606060606061,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,38,35,7.894736842105263
